"product_id","title","description","list_price","net_price","vendor_id","store_id","created_at","quantity_available","category_id","subcategory_id","media","category","subcategory"
1491,OQQ Women's 3 Piece High Waist Workout Shorts Butt Lifting Tummy Control Ruched Booty Smile Yoga Short Pants,"[""70% Nylon, 25% Polyester, 5% Spandex"", ""进口"", ""Pull On closure"", ""Hand Wash Only"", ""Gusseted Crotch: Gusseted crotch for greater freedom of movement, Flatlock seams reduce irritation caused by chafing"", ""Butt Lifting Designed: With crescent shading in the butt and ruched booty builder, easy to create peach hips"", ""Comfortable High Waist: Wide-waist elastic waistband to cover navel which provide tummy control"", ""Ultra-Stretch Fit: - Enough thickness with breathability, no See through, Featuring the soft and skin friendly material, the workout shorts are moisture wicking with four-way stretch material that promotes both compression and support."", ""For Daily Wear: 60% Nylon, 35% Polyester, 5% Spandex fabrics have a more natural feeling than polyester ones which makes it perfect for everyday wear,shopping, go out, badminton, running, jogging, cycling, gym fitness, marathon, game competiton or any casual exercise activities.""]",15117.4873,14910.0000,463,199,2023-07-26 13:04:44.072 +0100,15,2,477,"[{""product_id"":1491,""filename"":""61J5Oz1CA9L9480118.204668168"",""filepath"":""https://m.media-amazon.com/images/I/61J5Oz1CA9L.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Fashion,Women's Clothing
1131,"kinstone 🅺🅸🅽🆂🆃🅽🅴 Tablet 10 Inch Android Tablets,8GB RAM DDR4 256GB ROM 1TB Expand,Gray,6000mah Battery,Octa-Core 2.0Ghz,MTK 8183,WiFi 10.1''IPS HD Touch Screen BT 5.0 Android 12.","[""🎥This powerful tablet features a large 10 inch tablet display with high-resolution 1280*800 screen and Capacitive 5 points touch technology for smooth. The 6000mAh battery ensures long-lasting power for all your daily activities, from browsing the internet to streaming videos and playing games. With its sleek design and advanced features, the Kinstone gaming tablet is perfect for anyone who wants a high-performance device that can keep up with their busy lifestyle. 💪"", ""📚Boost your productivity and education with the Kinstone Android Tablet. Equipped with a powerful MTK8183 octa-core processor and 6GB DDR4 RAM, the Kinstone computer tablets delivers lightning-fast performance. The 128GB Flash ROM provides ample storage space, and with SDHC/SDXC support, you can expand storage up to 1TB. With dual cameras and Gaming Tablet, this tablets is perfect for video conferencing and remote learning. Get yours now! 🚀"", ""🔋Experience style and convenience with the Kinstone Tablet Android. This slim and sleek tablets is perfect for anyone on-the-go. Stay connected with AC WIFI 802.11 b/g/n/ac 2.4GHz + 5GHz (dual-band WIFI) and Bluetooth 5.0 support. The USB and Type-C ports make it easy to charge and transfer files. Take it with you anywhere and stay connected, whether you're at home, work, tablets shopping or traveling.📷"", ""🎮Experience immersive gaming like never before with the Kinstone Android Tablet. Equipped with an Arm Mali G72 graphics processor, this tablet delivers stunning visuals and smooth performance for all your favorite games. With support for multiple video and audio formats, you can enjoy your games, music, and videos in crystal-clear clarity. The windows tablet and 2 BOX speakers provide a truly immersive gaming experience, making the Kinstone tablet the perfect choice for serious gamers.💻"", ""📱Boost your productivity with the versatile Kinstone Android Tablet. With support for tablet keyboard and pens, the Kinstone tablet lets you easily switch between laptop and tablet modes to suit your needs. Compatible with Windows, Android, and Remarkable 2 tablet, the Kinstone tablet lets you work and create the way you want. Whether you're typing up reports, browsing the web,trade in program or editing photos, the Kinstone tablet is perfect for all your needs.🎨""]",128744.8334,128242.5000,463,199,2023-07-26 13:01:42.125 +0100,44,1,448,"[{""product_id"":1131,""filename"":""713RkW3M4IL6384784.895089229"",""filepath"":""https://m.media-amazon.com/images/I/713RkW3M4IL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1505,AISEW Womens Button Down Shirts Casual V Neck Long Sleeve Loose Fit Collared Plain Blouses Tops with Pocket,"[""100% Cotton"", ""Imported"", ""Button closure"", ""Hand Wash Only"", ""Classic shirt collar for women, oversize boyfriend style, fashion button shirts, drop shoulder, ladies solid color blouses, front pockets design. Womens dressy blouses tops can wear alone or as cardigan, roll up as 3/4 sleeves or long sleeve"", ""The Womens button up shirts is made of 100% cotton, relaxed, comfortable and loose fit. The basic long button down shirts is a must-have item in the wardrobe of fashionable women and girls"", ""Casual and elegant womens tops for work, travel, office, street, party, college or dating while giving you a stylish and trendy look. As beach cover up or wear it open over a tank top to outdoor camping, holiday, going out"", ""You can pick your style to dress the cotton long sleeve shirts up or down. Great pair with jeans, shorts, skinny leggings, boots in summer, spring, fall, winter, an all year round shirt, charming and super cute"", ""Note: 1. Please refer to our brand size chart (Not Amazon Size Chart) and select your fit size before ordering this button down blouse. 2. Some color may occur differences due to the different PC phone display""]",23659.3527,23242.5000,463,199,2023-07-26 13:04:50.856 +0100,35,2,477,"[{""product_id"":1505,""filename"":""81hLE-j5RjL9398547.615367305"",""filepath"":""https://m.media-amazon.com/images/I/81hLE-j5RjL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Fashion,Women's Clothing
1144,"Lenovo Tab M8 (4th Gen) - 2023 - Tablet - Long Battery Life - 8"" HD - Front 2MP & Rear 5MP Camera - 2GB Memory - 32GB Storage - Android 12 (Go Edition) or Later","[""Pocketable Entertainment: Tap into on-the-go fun for you or your kids with a slim-and-light 8-inch HD display and powerful dual speakers. Get one Tab M8 (4th gen) for each member of the household."", ""All Day Fun: Pack full power to sustain an entire day for kids to learn and grow on day and road trips with up to 16 hours of streaming on the 5100 mAh battery"", ""Safer Screen Time: The Lenovo Tab M8 (4th Gen) is TÜV Eye Care Certified. It protects sensitive eyes by reducing harmful blue light emissions. Turn on Reading Mode for a more realistic and immersive reading experience that lets you read for longer"", ""Greater Peace of Mind: Safeguard yourself and your family with a privacy dashboard that lets you manage your privacy permission accesses. Know when your camera and microphone is on through the camera and microphone indicator for greater peace of mind."", ""Help Your Family Create Better Digital Habits: With parental controls in the Family Link app from Google, you can guide your child’s experience by managing content, setting screen time limits, and more, all from your own device.""]",7575.8884,7492.5000,463,199,2023-07-26 13:01:48.746 +0100,1,1,448,"[{""product_id"":1144,""filename"":""61e2XEOJLGL6037076.145519222"",""filepath"":""https://m.media-amazon.com/images/I/61e2XEOJLGL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1146,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode","[""Powerful Productivity: 11th Generation Intel Core i3-1115G4 Dual Core processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.1GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMI"", ""Visibly Stunning: Experience sharp details and crisp colors on the 15.6\"" Full HD IPS display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezels."", ""Ergonomic Typing: Ergonomically designed hinge lifts the keyboard for comfortable typing, improved cooling, and a better sound experience."", ""Internal Specifications: 8GB DDR4 on-board memory (1 slot available); 128GB NVMe solid-state drive storage (1 hard drive bay available) to store your files and media"", ""Acer's Purified.Voice technology, features enhanced digital signal processing to cancel out background noise, improve speech accuracy and far-field pickup, which not only makes calls clearer, but makes talking to Alexa easier than before."", ""Using Alexa on your PC is as easy as asking a question. Just ask and Alexa can check your calendar, create lists, play music, answer questions, read the news and more."", ""Secure Operating System: Windows 11 Home in S mode comes with advanced security features built right in, like protections against phishing and malicious software so you don't have to think twice when navigating to a new webpage or downloading an app.""]",225640.1534,224992.5000,463,199,2023-07-26 13:01:49.686 +0100,41,1,448,"[{""product_id"":1146,""filename"":""71pvhTrmZDL7318970.931085933"",""filepath"":""https://m.media-amazon.com/images/I/71pvhTrmZDL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1119,"Android Tablet, 10.1 Inch Android 12 Tablet, 6GB RAM 64GB ROM, 1TB Expand, Android Tablet with 8000mAh Battery, Dual Camera, 5G WiFi, Bluetooth, FHD IPS Touch Screen, GPS, Google GMS Certified","[""【5G WiFi & 8000mAh High Capacity Battery】 This Android Tablet has a 5G WiFi module, which means it can connect to the internet faster than most other tablet with older WiFi modules. This feature allows for faster download and upload speeds, which is great for streaming movies, playing online games, and working remotely. The Tablet has an 8000 mAh battery, which is a high capacity battery that can last for a long time. This feature is ideal for people who frequently go on long trips and want to stay connected to the internet without having to worry about their tablet's battery dying quickly"", ""【6GB RAM 64GB ROM & Excellent Processor】 The Android 12 Tablet is equipped with an 1.8GHz excellent processor, 6GB(4GB+2GB) RAM and 64GB ROM, which means it can run apps and games quickly and smoothly without any lag. This feature is ideal for people who like to play games, run multiple apps at once, or use android tablet for work"", ""【10.1\"" FHD IPS Screen & Dual Camera】 The 10.1 inch tablet has an G+G FHD IPS screen, which means it can display high-quality images and videos with great clarity and color accuracy. This feature is ideal for people who like to watch movies, play games, or work on a tablet for extended periods of time. Dual camera (8MP Rear, 5MP Front) with auto focus function, you can take beautiful photos or make smooth video conversations"", ""【1TB Huge Capacity Storage & Google GMS Certification】 This Tablets is equipped with 64GB ROM Built-in memory, supports 1TB (1024GB) capacity expansion, includes a micro SD slot, lightweight but excellent, allows you to download a large number of applications from Google Play Store and have fun with them. The android tablet has passed the Google GMS certification. You have full access to the latest Google service, such as Google Play, WhatsApp, G-mail, Skype, Disney+, Netflix, YouTube, ZOOM, Google Assistant and more brilliant apps"", ""【5-year Warranty】 Our 10 inch tablet offers a 5-year warranty and Lifetime customer service, If you have any questions, please contact us, our customer service manager will reply you within 24 hours. Package Includes：1 x Tablet PC, 1 x High-quality Tablet Case, 1 x Screen Protector, 1 x OTG Cable, 1 x Charging Cable, 1 x User Manual""]",68442.7812,67485.0000,463,199,2023-07-26 13:01:36.285 +0100,23,1,448,"[{""product_id"":1119,""filename"":""81TtgFNJrGL418552.7848438508"",""filepath"":""https://m.media-amazon.com/images/I/81TtgFNJrGL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1126,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US","[""12th Gen Intel Core i7 Processor: Performance to stream and game anywhere. Designed to deliver high-performance gameplay."", ""It All Starts Now: Enjoy the latest generation Windows 11 Home for your everyday needs. *MSI recommends Windows 11 Pro for business use."", ""Smooth Display: The 15.6” 144Hz display delivers the fast refresh rate for smooth and vibrant gameplay."", ""High-Speed Data: SSD Gen 4x4 and DDR4-3200 memory for the fastest data transfer, system speed and responsiveness."", ""Play Cool: With the latest Cooler Boost 5 uses 2 fans and 6 heat pipes to ensure optimal thermal dissipation and provide the best gaming experience or creating Multi-layered projects.""]",684640.8166,684547.5000,463,199,2023-07-26 13:01:39.717 +0100,47,1,448,"[{""product_id"":1126,""filename"":""71JqyTBiXrL6184326.879878803"",""filepath"":""https://m.media-amazon.com/images/I/71JqyTBiXrL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1134,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)","[""FOR HOME, WORK, & SCHOOL – With an Intel processor, 14-inch display, custom-tuned stereo speakers, and long battery life, this Chromebook laptop lets you knock out any assignment or binge-watch your favorite shows..Voltage:5.0 volts"", ""HD DISPLAY, PORTABLE DESIGN – See every bit of detail on this micro-edge, anti-glare, 14-inch HD (1366 x 768) display (1); easily take this thin and lightweight laptop PC from room to room, on trips, or in a backpack."", ""ALL-DAY PERFORMANCE – Reliably tackle all your assignments at once with the quad-core, Intel Celeron N4120—the perfect processor for performance, power consumption, and value (2)."", ""4K READY – Smoothly stream 4K content and play your favorite next-gen games with Intel UHD Graphics 600 (3) (4)."", ""MEMORY AND STORAGE – Enjoy a boost to your system’s performance with 4 GB of RAM while saving more of your favorite memories with 64 GB of reliable flash-based eMMC storage (5)."", ""DESIGNED TO KEEP UP WITH YOU – Get everything on your to-do list done with up to 14 hours of battery life (6); plus, HP Fast Charge technology charges your laptop computer from 0 to 50% in approximately 45 minutes, so you never miss a beat (7)."", ""CHROME OS AND WARRANTY – Redefine how you work and play with the always secure and up-to-date Chrome browser, offering a huge selection of android apps in the Google Play Store (8). Start computing with confidence as your Google Chromebook laptop is covered by a 1-year limited hardware warranty."", ""ROCK SOLID CONNECTIVITY – Experience powerful connectivity with the 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth combo, perfect for remote work, modern games, or streaming your favorite show (9) (10)."", ""MULTI-TOUCH TOUCHPAD – Your device’s full-size keyboard features a true multi-touch touchpad that supports four-finger gestures and lets you scroll, zoom, and navigate with a simple touch."", ""SUSTAINABLE DESIGN – HP is committed to global citizenship and environmental responsibility—that’s why this laptop Chromebook is ENERGY STAR certified (11) and EPEAT Silver registered (12).""]",164273.2961,163500.0000,463,199,2023-07-26 13:01:43.790 +0100,26,1,448,"[{""product_id"":1134,""filename"":""71tXLOE7wIL9287802.797393851"",""filepath"":""https://m.media-amazon.com/images/I/71tXLOE7wIL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
1521,Dragon Fit High Waist Yoga Shorts for Women with 2 Side Pockets Tummy Control Running Home Workout Shorts,"[""88% Nylon, 12% Spandex"", ""Imported"", ""Pull On closure"", ""Hand Wash Only"", ""Using 4 way Stretch & Non See-through Fabric..Perfect for yoga, exercise, fitness, any type of workout, or everyday use.Dragon Fit Compression Yoga Shorts combine fashion, function and performance."", ""These Dragon Fit Workout Running Yoga Shorts for women are made from the highest quality fabrics designed to remove moisture from your body, providing maximum comfort."", ""Fabric is designed to contour perfectly to your body, giving you a streamlined look."", ""Big side pockets are available for 4\"",4.7\"",5\"",5.5\"" Mobile Phone"", ""If you don't love our products, simply return them without question within 30 days. So select your favorite color and \""\""Add to Cart\""\"" now.""]",15604.7134,14985.0000,463,199,2023-07-26 13:04:58.965 +0100,7,2,477,"[{""product_id"":1521,""filename"":""51dg3piXiyL1987329.1669240922"",""filepath"":""https://m.media-amazon.com/images/I/51dg3piXiyL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Fashion,Women's Clothing
1166,"kinstone 2023 New Android 12 Tablet PC F10 Pro 10.1 Inch Tablets with 8GB+256GB,Media Tek 8183 Octa-Core 2.0GHz,6000mAh,1920 * 1200 FHD IPS Display, 13MP + 5MP Daul Camera,5G Wi-Fi,GPS, BT 5.0,1TB TF","[""【8GB + 256GB + GooGle GMS Certified】The Kinstone F10 Pro tablet offers an impressive 8GB RAM, ensuring smooth performance whether you're gaming or multitasking. With its ample 256GB built-in storage, you can store your favorite videos and pictures. Moreover, the F10 Pro is Google GMS certified, allowing you to easily download your favorite apps from the Google Play store. Expand your storage further with up to 1TB TF card for even more convenience and flexibility."", ""【Ultra-lightweight Android 12+ Media Tek Chip】Experience the Kinstone F10 Pro tablet, weighing just 510 grams. Equipped with the latest Android 12 operating system and a powerful octa-core Media Tek 8183 processor, it delivers enhanced graphics performance and faster processing speeds for effortless multitasking. Featuring the unique Doke OS_P 3.0 user interface, it offers advanced privacy controls and Google Play Protect functionality to safeguard your privacy."", ""【6000mAh + 5+13MP Dual Camera】F10 Pro tablet with its powerful 6000mAh battery, offering up to 10 hours of web browsing and 8 hours of video playback. Never worry about running out of power during important moments and disrupt your work or study commitments. Capture stunning selfies with the enhanced 5MP front camera and its new Beauty algorithm, highlighting the brilliance of your face. The 13MP rear camera with autofocus ensures you can effortlessly capture every wonderful moment with ease."", ""【10.1 Inch FHD Display + Dual BOX Speakers】Indulge in a captivating audiovisual experience with F10 Pro Tablet. Its immersive 10.1-inch FHD in-cell display provides a wider field of view and delivers stunning visuals while watching movies or working on documents. With a screen resolution of 1920×1200 and a 16:9 golden screen ratio, it's tailor-made for gaming and video enthusiasts. Enhancing your entertainment further, the tablet boasts dual BOX speakers that deliver impressive sound quality"", ""【Netflix HD + Versatile Modes】Enjoy fast and seamless connectivity with the F10 Pro tablet's 2.4G+5G dual-band WIFI. With Google's GMS certification, easily download your favorite apps like Netflix, YouTube, Facebook, and Twitter from the Google Play Store. Explore a range of features including GPS, PC Mode, Game Mode, Versatile Desktop, Smart Floating Windows, and Split Screen View for an enhanced experience. Discover endless possibilities with the F10 Pro tablet."", ""【Great Service + Extra Protection】Get excellent service and extra protection with the Kinstone F10 Pro tablet. It comes with a stylish leather case and a protective film. You'll have a 12-month warranty, and if you register on our official website, it's extended for another year. Our friendly after-sales team is available 24/7 to help you out. Just reach out through the Amazon order page if you need assistance. Enjoy peace of mind and top-notch service with the Kinstone F10 Pro tablet.""]",142916.1343,142492.5000,463,199,2023-07-26 13:01:59.906 +0100,41,1,448,"[{""product_id"":1166,""filename"":""71uu-S9fsCL6051087.647852747"",""filepath"":""https://m.media-amazon.com/images/I/71uu-S9fsCL.jpg"",""description"":""null"",""is_display_image"":true,""is_landing_image"":true,""is_video"":false}]",Electronics,Computers & Tablets
